Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,7713,0.49018112488083887,15735
Basilicata,3321,0.42011385199240986,7905
Calabria,5177,0.20198985563792432,25630
Campania,32954,0.4917039689644882,67020
Emilia-Romagna,41790,0.47623931623931626,87750
Friuli-Venezia Giulia,7293,0.29598214285714286,24640
Lazio,49425,0.5633762680952924,87730
Liguria,12735,0.41692584711082009,30545
Lombardia,33764,0.21964610981004423,153720
Marche,9012,0.50771830985915489,17750
Molise,2075,0.42131979695431471,4925
P.A. Bolzano,3061,0.43916786226685794,6970
P.A. Trento,4357,0.26128935532233882,16675
Piemonte,30602,0.36954474097331241,82810
Puglia,19815,0.41041839270919633,48280
Sardegna,4283,0.2176321138211382,19680
Sicilia,38576,0.49025862616763044,78685
Toscana,31349,0.59946457596328517,52295
Umbria,4889,0.4971021860701576,9835
Valle d'Aosta,402,0.20406091370558377,1970
Veneto,44934,0.576816431322208,77900
