Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,7498,0.47651731808071179,15735
Basilicata,3309,0.41859582542694496,7905
Calabria,5177,0.20198985563792432,25630
Campania,31273,0.46662190390928082,67020
Emilia-Romagna,40724,0.46409116809116807,87750
Friuli-Venezia Giulia,7293,0.29598214285714286,24640
Lazio,48941,0.55785934116037839,87730
Liguria,12651,0.41417580618759209,30545
Lombardia,31824,0.20702576112412177,153720
Marche,9012,0.50771830985915489,17750
Molise,1486,0.30172588832487307,4925
P.A. Bolzano,3061,0.43916786226685794,6970
P.A. Trento,4357,0.26128935532233882,16675
Piemonte,30602,0.36954474097331241,82810
Puglia,19413,0.40209196354598176,48280
Sardegna,3749,0.19049796747967479,19680
Sicilia,38450,0.48865730444176148,78685
Toscana,30865,0.59020938904292952,52295
Umbria,4889,0.4971021860701576,9835
Valle d'Aosta,402,0.20406091370558377,1970
Veneto,44934,0.576816431322208,77900
