Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,17889,0.72986536107711142,24510
Basilicata,6185,0.44965467102871681,13755
Calabria,15460,0.39358452138492872,39280
Campania,93452,0.92394087695882154,101145
Emilia-Romagna,100275,0.76182336182336186,131625
Friuli-Venezia Giulia,23420,0.62762963955513873,37315
Lazio,86949,0.65582289938150551,132580
Liguria,27656,0.58692699490662137,47120
Lombardia,143121,0.6099469411238253,234645
Marche,19911,0.72403636363636359,27500
Molise,5137,0.5820963172804533,8825
P.A. Bolzano,11365,0.55116391852570323,20620
P.A. Trento,8472,0.53961783439490441,15700
Piemonte,86003,0.69491758241758239,123760
Puglia,48089,0.64458146236847391,74605
Sardegna,19994,0.59987998799879994,33330
Sicilia,79940,0.63704825277921662,125485
Toscana,60789,0.7544867816805263,80570
Umbria,12240,0.78036340452661779,15685
Valle d'Aosta,2879,0.73443877551020409,3920
Veneto,91612,0.78367835757057314,116900
